Make,Model,Year,Color,Price,Foreign/Local,Engine Type,Mileage
Subaru,Impreza,2016,Red,"KSh 1,850,000",Foreign Used,Automatic,
Mazda,Demio,2012,Red,"KSh 590,000",Kenyan Used,Automatic,114363
Mercedes-Benz,E250,2013,Gray,"KSh 2,800,000",Kenyan Used,Automatic,
Toyota,Land,2015,Black,"KSh 5,600,000",Kenyan Used,Automatic,88513
Toyota,Mark,2016,Silver,"KSh 1,950,000",Foreign Used,Automatic,82438
Toyota,Vitz,2016,Pink,"KSh 1,000,000",Foreign Used,Automatic,560000
Mitsubishi,Outlander,2008,Black,"KSh 950,000",Kenyan Used,Automatic,258989
Mitsubishi,Outlander,2015,White,"KSh 2,300,000",Kenyan Used,Automatic,145873
Toyota,Kluger,2012,Silver,"KSh 2,000,000",Kenyan Used,Automatic,60000
Toyota,Succeed,2016,White,"KSh 1,000,000",Foreign Used,Automatic,860000
Toyota,Mark,2017,Silver,"KSh 2,300,000",Foreign Used,Automatic,51339
Suzuki,Jimny,2014,Black,"KSh 1,680,000",Kenyan Used,Manual,
Nissan,Advan,2009,White,"KSh 370,000",Kenyan Used,Automatic,
Mazda,CX-5,2015,Brown,"KSh 2,000,000",Kenyan Used,Automatic,130308
Hyundai,Tucson,2022,Gray,"KSh 4,850,000",Kenyan Used,Automatic,15000
Nissan,Juke,2016,Silver,"KSh 1,500,000",Foreign Used,Automatic,65243
Toyota,Alphard,2015,Black,"KSh 2,800,000",Kenyan Used,Automatic,129157
Toyota,Hilux,2008,Black,"KSh 2,250,000",Kenyan Used,Automatic,
Toyota,Hilux,2018,White,"KSh 5,600,000",Foreign Used,Automatic,
Toyota,Wish,2014,Black,"KSh 1,280,000",Kenyan Used,Automatic,138535
Audi,A3,2016,White,"KSh 3,200,000",Foreign Used,Automatic,37264
Toyota,Probox,2013,Silver,"KSh 850,000",Kenyan Used,Automatic,109000
Toyota,Probox,2010,White,"KSh 650,000",Kenyan Used,Automatic,151000
Mazda,Demio,2015,Black,"KSh 1,075,000",Kenyan Used,Automatic,
Toyota,Land,2003,Gray,"KSh 2,650,000",Kenyan Used,Automatic,
Mazda,Verisa,2008,Purple,"KSh 590,000",Kenyan Used,Automatic,
Subaru,Outback,2016,Silver,"KSh 2,970,000",Foreign Used,Automatic,117000
BMW,X5,2008,Gray,"KSh 2,250,000",Kenyan Used,Automatic,
Subaru,Forester,2016,Black,"KSh 3,500,000",Foreign Used,Automatic,
Volkswagen,Golf,2015,Gray,"KSh 2,600,000",Foreign Used,Automatic,152272
Toyota,Wish,2013,Black,"KSh 1,300,000",Kenyan Used,Automatic,127000
Subaru,XV,2016,White,"KSh 2,200,000",Foreign Used,Automatic,52312
Mercedes-Benz,A-Class,2016,White,"KSh 2,500,000",Foreign Used,Automatic,31000
Toyota,Harrier,2016,White,"KSh 3,950,000",Foreign Used,Automatic,65231
Mazda,CX-5,2016,Red,"KSh 2,650,000",Foreign Used,Automatic,
Land,Rover,2009,Green,"KSh 2,850,000",Kenyan Used,Manual,154000
Toyota,Porte,2013,Red,"KSh 670,000",Kenyan Used,Automatic,102000
Nissan,Tiida,2010,White,"KSh 530,000",Kenyan Used,Automatic,
Toyota,Vista,2002,Silver,"KSh 370,000",Kenyan Used,Automatic,133552
Toyota,Vanguard,2011,Black,"KSh 2,200,000",Kenyan Used,Automatic,
Toyota,Allion,2008,White,"KSh 650,000",Kenyan Used,Automatic,102000
Toyota,Alphard,2016,Black,"KSh 3,600,000",Foreign Used,Automatic,94000
Mazda,Premacy,2007,Black,"KSh 510,000",Kenyan Used,Automatic,
Toyota,Succeed,2012,White,"KSh 750,000",Kenyan Used,Automatic,103000
Subaru,Forester,2006,Black,"KSh 680,000",Kenyan Used,Automatic,102000
Nissan,Serena,2008,Burgundy,"KSh 600,000",Kenyan Used,Automatic,155557
Nissan,Note,2011,Blue,"KSh 600,000",Kenyan Used,Automatic,102000
Nissan,Note,2011,Red,"KSh 590,000",Kenyan Used,Automatic,150390
Volkswagen,Passat,2013,White,"KSh 1,200,000",Kenyan Used,Automatic,100000
Toyota,Corolla,2013,Black,"KSh 1,300,000",Kenyan Used,Automatic,102000
Toyota,Axio,2009,White,"KSh 850,000",Kenyan Used,Automatic,109000
Toyota,Corolla,2004,Silver,"KSh 680,000",Kenyan Used,Automatic,121000
Toyota,Land,2005,Black,"KSh 1,750,000",Kenyan Used,Automatic,
Subaru,Impreza,2016,Black,"KSh 7,000,000",Foreign Used,Manual,
Nissan,Note,2016,Black,"KSh 1,060,000",Foreign Used,Automatic,55200
Toyota,Succeed,2016,White,"KSh 1,050,000",Foreign Used,Automatic,102314
Subaru,Outback,2015,Black,"KSh 2,900,000",Foreign Used,Automatic,
Mazda,CX-5,2014,Red,"KSh 2,250,000",Foreign Used,Automatic,
Toyota,Auris,2016,White,"KSh 1,850,000",Foreign Used,Automatic,84000
Toyota,Voxy,2010,Black,"KSh 1,050,000",Kenyan Used,Automatic,103000
Toyota,Rush,2009,Silver,"KSh 1,150,000",Kenyan Used,Automatic,95000
Nissan,Note,2017,White,"KSh 1,150,000",Foreign Used,Automatic,85312
Toyota,RAV4,2005,Silver,"KSh 780,000",Kenyan Used,Automatic,102000
Toyota,Voxy,2016,Black,"KSh 2,350,000",Foreign Used,Automatic,42200
Toyota,Passo,2017,Pink,"KSh 980,000",Foreign Used,Automatic,16000
Nissan,March,2010,Purple,"KSh 380,000",Kenyan Used,Automatic,
Toyota,Allion,2009,Silver,"KSh 1,040,000",Kenyan Used,Automatic,
Nissan,NV200,2015,Silver,"KSh 1,060,000",Kenyan Used,Automatic,120000
Toyota,Corolla,2005,White,"KSh 650,000",Kenyan Used,Automatic,
Toyota,IST,2005,Silver,"KSh 570,000",Kenyan Used,Automatic,129000
Nissan,Note,2013,Blue,"KSh 780,000",Kenyan Used,CVT,
Mitsubishi,Pajero,2001,White,"KSh 380,000",Kenyan Used,Manual,
Toyota,Corolla,2004,Gold,"KSh 580,000",Kenyan Used,Automatic,104000
Volkswagen,Touran,2012,White,"KSh 787,500",Kenyan Used,Automatic,156427
Mazda,Verisa,2005,Gray,"KSh 472,500",Kenyan Used,Automatic,202758
Nissan,Teana,2008,White,"KSh 682,500",Kenyan Used,Automatic,120134
Mitsubishi,Pajero,2006,Gray,"KSh 1,155,000",Kenyan Used,Automatic,328200
Subaru,Legacy,1992,Silver,"KSh 441,000",Kenyan Used,Manual,273222
Toyota,Succeed,2013,White,"KSh 630,000",Kenyan Used,Automatic,491158
Mazda,CX-5,2017,Red,"KSh 3,299,999",Foreign Used,Automatic,
Subaru,Forester,2004,Red,"KSh 560,000",Kenyan Used,Automatic,
Suzuki,Alto,2013,White,"KSh 390,000",Kenyan Used,Automatic,170000
Mercedes-Benz,E250,2012,Black,"KSh 2,350,000",Kenyan Used,Automatic,98000
Nissan,March,2011,Gray,"KSh 420,000",Kenyan Used,Automatic,
Honda,Fit,2010,White,"KSh 624,000",Kenyan Used,Automatic,159496
Toyota,Auris,2016,Silver,"KSh 1,995,000",Kenyan Used,Automatic,58530
Mazda,Demio,2010,White,"KSh 540,800",Kenyan Used,Automatic,117857
Toyota,Harrier,2007,Silver,"KSh 1,260,000",Kenyan Used,Automatic,126447
Nissan,X-Trail,2004,White,"KSh 603,200",Kenyan Used,Automatic,216649
Subaru,Legacy,2005,Gray,"KSh 676,000",Kenyan Used,Automatic,99423
Subaru,Forester,2012,Silver,"KSh 1,768,000",Kenyan Used,Automatic,233058
Toyota,Corolla,2014,White,"KSh 1,404,000",Kenyan Used,Automatic,200056
Nissan,March,2012,Silver,"KSh 488,800",Kenyan Used,Automatic,109242
Toyota,Vanguard,2013,Blue,"KSh 2,288,000",Kenyan Used,Automatic,74000
Toyota,Allion,2005,White,"KSh 707,200",Kenyan Used,Automatic,193020
Mercedes-Benz,C200,2012,Silver,"KSh 1,942,500",Kenyan Used,Automatic,111631
Nissan,NV200,2014,White,"KSh 997,500",Kenyan Used,Automatic,107596
Toyota,Vitz,2012,Blue,"KSh 680,000",Kenyan Used,Automatic,212967
Toyota,Premio,2009,Silver,"KSh 1,100,000",Kenyan Used,Automatic,
Toyota,Vitz,2012,Black,"KSh 588,000",Kenyan Used,Automatic,
Nissan,Navara,2006,Red,"KSh 997,500",Kenyan Used,Manual,186708
Subaru,Legacy,2008,Black,"KSh 884,000",Kenyan Used,Automatic,179941
Suzuki,Alto,2013,Beige,"KSh 478,400",Kenyan Used,Automatic,208428
Toyota,Vitz,2012,Red,"KSh 728,000",Kenyan Used,Automatic,158673
Peugeot,207,2008,Blue,"KSh 480,000",Kenyan Used,Automatic,165734
Toyota,Land,2016,Black,"KSh 6,150,000",Foreign Used,Automatic,63000
Subaru,Legacy,2014,Black,"KSh 1,450,000",Kenyan Used,Automatic,
Toyota,TownAce,2004,White,"KSh 900,000",Foreign Used,Automatic,913000
Toyota,Land,2007,Silver,"KSh 2,200,000",Kenyan Used,Automatic,
Toyota,Axio,2016,White,"KSh 1,595,000",Foreign Used,Automatic,
Toyota,Corolla,2007,Blue,"KSh 765,000",Kenyan Used,Automatic,
Mazda,CX-5,2017,Red,"KSh 3,300,000",Foreign Used,Automatic,
Toyota,Mark,2002,Silver,"KSh 495,000",Kenyan Used,Automatic,
Mitsubishi,Mirage,2016,Silver,"KSh 850,000",Foreign Used,Automatic,143000
Toyota,Corolla,2009,White,"KSh 790,000",Kenyan Used,Automatic,145000
Toyota,Probox,2015,White,"KSh 990,000",Kenyan Used,Automatic,
Toyota,Mark,2007,Silver,"KSh 650,000",Kenyan Used,Automatic,
Toyota,Ractis,2012,Black,"KSh 780,000",Kenyan Used,Automatic,
Toyota,Passo,2012,Silver,"KSh 550,000",Kenyan Used,Automatic,268077
Toyota,Harrier,2011,Black,"KSh 2,200,000",Kenyan Used,Automatic,
Toyota,IST,2005,Silver,"KSh 570,000",Kenyan Used,Automatic,145080
Mazda,Atenza,2016,,"KSh 2,380,000",Foreign Used,Automatic,83000
Mazda,CX-5,2017,Gray,"KSh 3,750,000",Foreign Used,Automatic,115000
Suzuki,Vitara,2016,Orange,"KSh 2,899,000",Foreign Used,Automatic,36400
Toyota,Premio,2015,White,"KSh 1,650,000",Kenyan Used,Automatic,96000
BMW,X3,2015,Black,"KSh 3,999,000",Kenyan Used,Automatic,67000
Honda,Odyssey,2016,Pearl,"KSh 1,950,000",Foreign Used,Automatic,
Toyota,Crown,,white,"KSh 780,000",Kenyan Used,Automatic,240000
Suzuki,Escudo,2015,Gray,"KSh 2,200,000",Foreign Used,Manual,160290
Suzuki,Alto,2015,White,"KSh 545,000",Kenyan Used,Automatic,
Honda,CR-V,2014,Gray,"KSh 2,300,000",Kenyan Used,Automatic,
Suzuki,Escudo,2015,Pearl,"KSh 2,400,000",Foreign Used,Automatic,99968
Mitsubishi,Pajero,1997,Black,"KSh 340,000",Kenyan Used,Manual,
Toyota,Land,2014,Black,"KSh 9,800,000",Kenyan Used,Automatic,80000
Toyota,Allion,2015,Blue,"KSh 1,780,000",Kenyan Used,Automatic,55000
Toyota,Hilux,,white,"KSh 2,530,000",Kenyan Used,Manual,98000
