,Make,Model,Year,Color,Price,Foreign/Local,Engine Type,Mileage
18485,Lexus,NX,2015,White,4800000,Foreign Used,Automatic,92775.0
18486,Honda,Fit,2016,White,1700000,Foreign Used,Automatic,
18487,BMW,X6,2014,White,8200000,Foreign Used,Automatic,
18488,Mitsubishi,Mirage,2012,Green,630000,Kenyan Used,Automatic,93000.0
18489,Nissan,260Z,1998,Blue,750000,Kenyan Used,Manual,
18490,Toyota,Esquire,2015,Black,2800000,Foreign Used,Automatic,
18491,Honda,Stepwgn,2016,Blue,2100000,Foreign Used,Automatic,80000.0
18492,Toyota,Land,2016,Black,13000000,Foreign Used,Automatic,
18493,Toyota,Harrier,2016,Black,2800000,Kenyan Used,Automatic,143396.0
18494,Toyota,Succeed,2013,White,830000,Kenyan Used,Automatic,198542.0
18495,Mazda,CX-3,2017,Black,1900000,Foreign Used,Automatic,70646.0
18496,Nissan,Note,2015,White,1299999,Kenyan Used,Automatic,132547.0
18497,Mercedes-Benz,GLE43,2017,White,10500000,Foreign Used,Automatic,
18498,Nissan,March,2015,Purple,400000,Kenyan Used,Automatic,
18499,Ford,Ranger,2018,Silver,7500000,Foreign Used,Automatic,
18500,Toyota,Corolla,2009,Blue,900000,Kenyan Used,Automatic,
18501,Honda,Accord,2007,Silver,600000,Kenyan Used,Automatic,152000.0
18502,Mazda,CX-5,2016,Red,2890000,Foreign Used,Automatic,80000.0
18503,Toyota,Corolla,2015,Silver,1520000,Kenyan Used,Automatic,
18504,Mitsubishi,Pajero,2003,Blue,490000,Kenyan Used,Manual,261422.0
18505,Peugeot,RC,2015,White,2400000,Foreign Used,Automatic,
18506,Mercedes-Benz,C200,2016,White,4000000,Foreign Used,Automatic,35000.0
18507,Mitsubishi,Outlander,2016,Silver,3200000,Foreign Used,Automatic,
18508,Land,Rover,2015,Beige,9500000,Foreign Used,Automatic,
18509,Mitsubishi,Galant,2008,Pearl,845000,Kenyan Used,Automatic,143412.0
18511,Toyota,Axio,2016,Silver,1450000,Foreign Used,Automatic,73000.0
18512,Toyota,Corolla,2016,Black,1550000,Foreign Used,Automatic,65000.0
18513,Land,Rover,2005,Gray,2500000,Kenyan Used,Automatic,
18514,Toyota,Wish,2011,Black,940000,Kenyan Used,Automatic,99147.0
18515,Toyota,Axio,2017,White,1550000,Kenyan Used,Automatic,95263.0
18516,Nissan,Skyline,2016,White,2400000,Foreign Used,Automatic,82580.0
18517,Toyota,Mark,2014,Gray,1350000,Kenyan Used,Automatic,80247.0
18518,Toyota,Land,nan,Black,3200000,Kenyan Used,Automatic,127000.0
18519,Toyota,Caldina,2007,Black,370000,Kenyan Used,Manual,
18520,Mitsubishi,Lancer,2006,Silver,480000,Kenyan Used,Automatic,
18521,Toyota,Noah,2017,Silver,2800000,Foreign Used,Automatic,100000.0
18522,Toyota,Land,2012,Gray,5499999,Kenyan Used,Automatic,96000.0
18523,Toyota,Land,2014,Silver,5200000,Kenyan Used,Automatic,112548.0
18524,Mitsubishi,Pajero,1993,Gray,230000,Kenyan Used,Manual,214655.0
18525,Nissan,Primera,1999,Silver,320000,Kenyan Used,Automatic,136588.0
18526,Toyota,Succeed,2016,Silver,800000,Kenyan Used,Automatic,137249.0
18527,Toyota,Succeed,2008,Blue,450000,Kenyan Used,Automatic,
18528,Toyota,Corolla,2001,White,330000,Kenyan Used,Automatic,136599.0
18529,Nissan,X-Trail,2016,Green,3100000,Foreign Used,Automatic,130000.0
18530,Audi,TT,2014,White,3500000,Foreign Used,Automatic,
18531,Toyota,Mark,2003,Silver,390000,Kenyan Used,Automatic,165246.0
18532,Toyota,Corolla,1996,White,500000,Kenyan Used,Automatic,
18533,Nissan,March,2016,Silver,750000,Foreign Used,Automatic,42000.0
18534,Mercedes-Benz,C200,2016,Black,4200000,Foreign Used,Automatic,
18535,Peugeot,5008,2016,White,1900000,Foreign Used,Automatic,
18536,Toyota,Land,2008,Black,4500000,Kenyan Used,Automatic,
