,Make,Model,Year,Color,Price,Foreign/Local,Engine Type,Mileage
2184,Toyota,Crown,2015,Pearl,2800000,Foreign Used,Automatic,166000.0
2185,Mitsubishi,Outlander,2014,White,3480000,Foreign Used,Automatic,
2186,Land,Rover,2008,Blue,2800000,Kenyan Used,Automatic,129000.0
2187,Volkswagen,Golf,2014,White,1800000,Foreign Used,Automatic,
2188,Land,Rover,2008,Blue,2800000,Kenyan Used,Automatic,143000.0
2189,Land,Rover,2008,Blue,2800000,Kenyan Used,Automatic,
2190,Nissan,Wingroad,2005,White,400000,Kenyan Used,Automatic,
2191,Nissan,Note,2014,Black,800000,Kenyan Used,Automatic,148000.0
2192,Toyota,Land,2011,Silver,950000,Kenyan Used,Automatic,
2193,Toyota,RAV4,2008,Silver,1150000,Kenyan Used,Automatic,146000.0
2194,Mazda,Demio,2016,White,1185000,Foreign Used,Automatic,98000.0
2195,Mercedes-Benz,C200,2011,Black,1500000,Kenyan Used,Automatic,
2196,Mazda,Axela,2016,Brown,1860000,Foreign Used,Automatic,58000.0
2197,Mercedes-Benz,C200,2010,Black,1500000,Kenyan Used,Automatic,129000.0
2198,Mazda,CX-3,2015,White,1630000,Kenyan Used,Automatic,170000.0
2199,Toyota,Vitz,2009,Silver,730000,Kenyan Used,Automatic,177000.0
2200,Toyota,RAV4,2002,Silver,660000,Kenyan Used,Automatic,
2201,Honda,CR-V,2005,Blue,850000,Kenyan Used,Automatic,153844.0
2202,Mercedes-Benz,C200,2011,Black,1500000,Kenyan Used,Automatic,119000.0
2203,Nissan,X-Trail,2004,White,490000,Kenyan Used,Automatic,137000.0
2204,Mercedes-Benz,C200,2010,Black,1500000,Kenyan Used,Automatic,
2205,Nissan,Note,2009,Silver,500000,Kenyan Used,Automatic,
2206,Toyota,Fortuner,2012,Black,2650000,Kenyan Used,Automatic,
2207,Volkswagen,Tiguan,2017,Black,3800000,Foreign Used,Automatic,
2208,Toyota,Belta,2010,Silver,700000,Kenyan Used,Automatic,
2209,Toyota,Vanguard,2009,Silver,1700000,Kenyan Used,Automatic,
2210,Lexus,RX,2007,White,760000,Kenyan Used,Automatic,
2211,Toyota,Hilux,2009,White,1620000,Kenyan Used,Automatic,
2212,Toyota,Mark,2016,White,2500000,Foreign Used,Automatic,
2213,Toyota,Mark,2010,White,1150000,Kenyan Used,Automatic,151000.0
2214,Honda,Vezel,2016,Black,2800000,Foreign Used,Automatic,
2215,Subaru,Impreza,2011,Silver,890000,Kenyan Used,Automatic,125000.0
2216,Nissan,X-Trail,2016,Red,2600000,Foreign Used,Automatic,
2217,Land,Rover,2014,Black,12800000,Foreign Used,Automatic,
2218,Land,Rover,2015,Gray,10000000,Foreign Used,Automatic,
2219,Audi,Q7,2015,White,4850000,Foreign Used,Automatic,
2220,Toyota,Corolla,2007,Silver,790000,Kenyan Used,Automatic,
2221,Toyota,Hilux,2014,White,4800000,Foreign Used,Automatic,
2222,Ford,Ranger,2014,Orange,4700000,Foreign Used,Automatic,
2223,Toyota,Porte,2009,Black,610000,Kenyan Used,Automatic,175000.0
2224,Nissan,Almera,2014,Gray,1150000,Kenyan Used,Manual,39999.0
2225,Subaru,Forester,2014,Silver,3100000,Foreign Used,Automatic,
2226,Subaru,Forester,2016,White,2900000,Foreign Used,Automatic,
2227,Toyota,Harrier,2017,Black,3850000,Foreign Used,Automatic,
2228,Toyota,Axio,2013,White,1050000,Kenyan Used,Automatic,80000.0
2229,Subaru,Trezia,2014,Silver,890000,Kenyan Used,Automatic,105000.0
2230,Toyota,Axio,2015,Black,1270000,Kenyan Used,Automatic,97000.0
2231,Honda,Vezel,2016,Red,2790000,Foreign Used,Automatic,99000.0
2232,Toyota,Belta,2008,Silver,650000,Kenyan Used,Automatic,135224.0
2233,Toyota,Passo,2012,Blue,550000,Kenyan Used,Automatic,
2234,Mercedes-Benz,C200,2011,Black,1500000,Kenyan Used,Automatic,164000.0
2235,Mazda,CX-5,2017,Gray,3250000,Foreign Used,Automatic,
2236,Mazda,Bongo,2008,White,940000,Kenyan Used,Automatic,
2237,Toyota,HiAce,2013,White,950000,Kenyan Used,Automatic,
2238,Lexus,RX,2002,Black,1200000,Kenyan Used,Automatic,
2239,Toyota,Sienta,2012,Black,950000,Kenyan Used,Automatic,
2240,Toyota,Probox,2014,Black,930000,Kenyan Used,Automatic,
2241,Volkswagen,Tiguan,2014,Red,2350000,Kenyan Used,Automatic,
2242,Mazda,Demio,2008,Gray,620000,Kenyan Used,Automatic,
2243,Toyota,Corolla,2016,Blue,1780000,Foreign Used,Automatic,
2244,Toyota,Passo,2016,Black,980000,Foreign Used,Automatic,
2245,BMW,X5,2015,Gray,5800000,Foreign Used,Automatic,
2246,Toyota,Hilux,2014,Black,4700000,Foreign Used,Automatic,
2247,Suzuki,Escudo,2014,Black,2300000,Foreign Used,Automatic,
2248,Land,Rover,2014,White,10000000,Foreign Used,Automatic,
2249,Toyota,Succeed,2009,White,750000,Kenyan Used,Automatic,
2250,Ford,Ranger,2021,Green,4350000,Foreign Used,Automatic,
2251,Toyota,Passo,2012,White,650000,Kenyan Used,Automatic,118206.0
2252,Toyota,Harrier,2017,Black,3695000,Foreign Used,Automatic,99521.0
2253,Nissan,X-Trail,2016,Gray,2350000,Foreign Used,Automatic,
2254,BMW,116i,2016,White,1550000,Foreign Used,Automatic,
2255,Audi,Q7,2008,Silver,1950000,Kenyan Used,Automatic,93683.0
2256,Toyota,Noah,2016,Purple,2490000,Foreign Used,Automatic,41000.0
2257,Audi,A3,2016,Pearl,3000000,Foreign Used,Automatic,
2258,Mercedes-Benz,C200,2016,Silver,3800000,Foreign Used,Automatic,
2259,Toyota,Voxy,2016,Blue,2490000,Foreign Used,Automatic,68000.0
2260,Suzuki,Jimny,2016,Green,1400000,Foreign Used,Automatic,
2261,Toyota,Voxy,2016,White,2450000,Foreign Used,Automatic,93000.0
2262,Toyota,Crown,2016,Pearl,2700000,Foreign Used,Automatic,
2263,Toyota,Sienta,2014,White,985000,Kenyan Used,Automatic,
2264,Honda,Fit,2011,White,650000,Kenyan Used,Automatic,106000.0
2265,BMW,X1,2016,Beige,3550000,Foreign Used,Automatic,
2266,Nissan,X-Trail,2016,Gray,2550000,Foreign Used,Automatic,94000.0
2267,Subaru,Forester,2016,Blue,3350000,Foreign Used,Automatic,
2268,Nissan,X-Trail,2005,White,600000,Kenyan Used,Automatic,
2269,Nissan,Note,2017,White,1250000,Foreign Used,Automatic,
2270,Toyota,Probox,2005,White,580000,Kenyan Used,Automatic,300638.0
2271,Toyota,Wish,2005,Black,650000,Kenyan Used,Automatic,
2272,Suzuki,Grand,2009,Gold,830000,Kenyan Used,Automatic,131000.0
2273,Mitsubishi,Galant,2002,Blue,290000,Kenyan Used,Automatic,183000.0
2274,Nissan,X-Trail,2016,Pearl,2100000,Foreign Used,Automatic,
2275,Mitsubishi,L200,2014,White,1150000,Kenyan Used,Manual,214000.0
2276,Toyota,Crown,2017,Silver,3050000,Foreign Used,Automatic,
2277,Mazda,CX-3,2016,Black,2050000,Foreign Used,Automatic,72500.0
2278,Toyota,Harrier,2017,White,3650000,Foreign Used,Automatic,28000.0
2279,Mitsubishi,Pajero,2001,Silver,690000,Kenyan Used,Manual,
2280,Nissan,Bluebird,2008,Blue,570000,Kenyan Used,Automatic,156000.0
2281,Toyota,Succeed,2016,Silver,995000,Kenyan Used,Automatic,
2282,Audi,Q5,2012,White,1980000,Kenyan Used,Automatic,
2283,Toyota,Land,2008,White,4350000,Kenyan Used,Automatic,163000.0
2284,Toyota,Harrier,2003,Silver,649000,Kenyan Used,Automatic,
2285,Land,Rover,2016,Green,9500000,Foreign Used,Automatic,
2286,Toyota,Hilux,2010,White,1310000,Kenyan Used,Manual,165388.0
2287,Porsche,911,2004,Silver,4400000,Kenyan Used,Automatic,45000.0
2288,Audi,Q5,2017,White,4549999,Foreign Used,Automatic,69800.0
2290,Volkswagen,Touareg,2012,Black,3300000,Kenyan Used,Automatic,
2291,Mercedes-Benz,S-Class,2010,Black,2590000,Kenyan Used,Automatic,
2292,Toyota,Passo,2016,Blue,1030000,Foreign Used,Automatic,77000.0
2293,Toyota,Probox,2008,White,620000,Kenyan Used,Automatic,
2294,BMW,7,2013,White,2850000,Kenyan Used,Automatic,78000.0
2295,Mitsubishi,Pajero,2008,Silver,2000000,Kenyan Used,Automatic,
2296,Mazda,Demio,2010,White,445000,Kenyan Used,Automatic,
2297,Toyota,Hilux,2005,Gray,915000,Kenyan Used,Automatic,
2298,Toyota,Voxy,2008,Silver,800000,Kenyan Used,Automatic,188000.0
2299,BMW,X3,2013,Black,2150000,Kenyan Used,Automatic,58000.0
2300,Mazda,Demio,2015,Blue,1050000,Kenyan Used,Automatic,112895.0
2301,Honda,Vezel,2016,Silver,2500000,Foreign Used,Automatic,96521.0
2302,Honda,Fit,2014,White,1020000,Kenyan Used,Automatic,109868.0
2303,Toyota,Land,2016,White,5850000,Foreign Used,Automatic,56000.0
2304,BMW,320i,2015,White,2690000,Foreign Used,Automatic,93185.0
2305,Nissan,Advan,2015,Silver,690000,Foreign Used,Automatic,80000.0
2306,Toyota,Allion,2014,Silver,1550000,Kenyan Used,Automatic,109865.0
2307,Mitsubishi,Galant,2010,Black,850000,Kenyan Used,Automatic,
2308,Toyota,Harrier,2015,White,3650000,Foreign Used,Automatic,97859.0
2309,Toyota,Noah,2012,Silver,1350000,Kenyan Used,Automatic,170000.0
2310,Toyota,Land,2005,Green,2350000,Kenyan Used,Automatic,163000.0
2311,Mazda,Demio,2016,Gray,1270000,Foreign Used,Automatic,70000.0
2312,Nissan,Lafesta,2012,Gray,1000000,Kenyan Used,Automatic,116000.0
2313,Toyota,Corolla,2007,Silver,810000,Kenyan Used,Automatic,
2314,BMW,X6,2007,Red,2750000,Kenyan Used,Automatic,106700.0
2315,Honda,Odyssey,2014,White,1650000,Kenyan Used,Automatic,
2316,BMW,116i,2012,White,1320000,Kenyan Used,Automatic,
2317,Mazda,CX-5,2017,Red,3285000,Foreign Used,Automatic,85000.0
2318,Toyota,Harrier,2011,Black,1650000,Kenyan Used,Automatic,
2319,Toyota,Harrier,2011,Black,1800000,Kenyan Used,Automatic,
2320,Toyota,Vitz,2014,Black,690000,Kenyan Used,CVT,
2321,Subaru,Legacy,2011,Black,1250000,Kenyan Used,Automatic,119000.0
2322,Toyota,Hilux,2016,Black,5450000,Kenyan Used,Automatic,70000.0
2323,Toyota,Axio,2010,White,880000,Kenyan Used,Automatic,
2324,Toyota,Corolla,2000,White,350000,Kenyan Used,Manual,280000.0
2325,Nissan,Pick-Up,2016,Silver,2000000,Kenyan Used,Automatic,
2326,Volkswagen,Touran,2014,Black,1080000,Kenyan Used,Automatic,
2327,Mazda,Demio,2011,Brown,550000,Kenyan Used,Automatic,85742.0
2328,Nissan,Serena,2012,Black,930000,Kenyan Used,Automatic,151000.0
2329,Toyota,Corolla,2006,Blue,750000,Kenyan Used,Automatic,
2330,Mercedes-Benz,C200,1996,Silver,550000,Kenyan Used,Automatic,
2331,Toyota,Crown,2009,Silver,1100000,Kenyan Used,Automatic,143000.0
2332,Nissan,Note,2010,Silver,450000,Kenyan Used,Automatic,
2333,Nissan,Sylphy,2016,Silver,1640000,Foreign Used,Automatic,82000.0
2334,Volkswagen,Polo,2006,Silver,520000,Kenyan Used,Automatic,118000.0
2335,Isuzu,D-MAX,2013,Blue,1600000,Kenyan Used,Manual,96328.0
2337,Suzuki,Wagon,2016,Blue,840000,Foreign Used,Automatic,62000.0
2338,Nissan,Advan,nan,white,850000,Foreign Used,Automatic,95000.0
2339,Toyota,Corolla,1999,White,330000,Kenyan Used,Automatic,
2340,Honda,Vezel,2016,Brown,2650000,Foreign Used,Automatic,65000.0
2341,Nissan,Note,2016,White,1100000,Foreign Used,Automatic,
2342,Toyota,Wish,2012,Black,1280000,Kenyan Used,Automatic,118000.0
2343,Toyota,Probox,2008,White,430000,Kenyan Used,Automatic,
2344,Nissan,Caravan,2003,Silver,680000,Foreign Used,Automatic,110690.0
2345,Toyota,Passo,2016,Silver,930000,Foreign Used,Automatic,
2346,Volkswagen,Touareg,2012,Black,3300000,Kenyan Used,Automatic,
2347,Toyota,Belta,2007,Green,400000,Kenyan Used,Automatic,186650.0
2348,Mazda,CX-5,2012,White,1750000,Kenyan Used,Automatic,145038.0
2349,Isuzu,D-MAX,2010,White,1280000,Kenyan Used,Manual,159500.0
2350,Land,Rover,2012,Gray,3650000,Kenyan Used,Automatic,156000.0
2351,Mazda,Demio,2014,Gray,760000,Kenyan Used,Automatic,130000.0
2352,Audi,Q5,2016,Pearl,4500000,Foreign Used,Automatic,89000.0
2354,Honda,Vezel,2016,Silver,2490000,Foreign Used,Automatic,
2355,Mitsubishi,Mirage,2016,Silver,990000,Foreign Used,Automatic,
2356,Lexus,LX,2017,Black,13999999,Foreign Used,Automatic,60000.0
2357,Toyota,Probox,2017,Silver,999990,Kenyan Used,Automatic,112000.0
2358,BMW,7,2013,Pearl,2900000,Kenyan Used,Automatic,84000.0
2359,Lexus,LX,2016,White,13900000,Foreign Used,Automatic,30000.0
2360,Isuzu,D-MAX,2014,White,1750000,Kenyan Used,Manual,130000.0
2361,Toyota,Vitz,2009,White,500000,Kenyan Used,Automatic,100000.0
2362,Mazda,Axela,2016,Black,1750000,Foreign Used,Automatic,90691.0
2363,Mazda,Demio,2012,Gray,650000,Kenyan Used,Automatic,129331.0
2364,Toyota,Hilux,2016,Gray,2500000,Foreign Used,Manual,50000.0
2365,Mazda,Axela,2013,White,845000,Kenyan Used,Automatic,81566.0
2366,Subaru,Forester,2016,White,3200000,Foreign Used,Automatic,
2367,Toyota,Premio,2013,Red,1200000,Kenyan Used,Automatic,
2368,Toyota,Corolla,1991,White,130000,Kenyan Used,Manual,
2369,Mazda,CX-5,nan,white,2950000,Foreign Used,Automatic,36000.0
2370,Mazda,Verisa,2015,Red,1090000,Kenyan Used,Automatic,
2371,Toyota,Corolla,2018,Blue,1750000,Foreign Used,Automatic,98000.0
2372,Lexus,LX,nan,Black,15800000,Foreign Used,Automatic,40000.0
2373,Toyota,Passo,2015,Black,800000,Kenyan Used,Automatic,
2374,Toyota,Passo,2016,Purple,999000,Foreign Used,Automatic,
2375,Mitsubishi,Outlander,2016,Brown,2900000,Foreign Used,Automatic,50000.0
2376,Toyota,Vitz,2012,Gray,600000,Kenyan Used,Automatic,127000.0
2377,Toyota,Passo,2015,Blue,750000,Kenyan Used,Automatic,
2378,Nissan,Note,2010,Black,460000,Kenyan Used,Automatic,
2379,Toyota,Crown,2017,Blue,3100000,Foreign Used,Automatic,50000.0
2380,Subaru,Forester,2016,Blue,2950000,Foreign Used,Automatic,69000.0
2381,Suzuki,Swift,2016,Red,980000,Foreign Used,Automatic,69000.0
2382,Toyota,Land,2013,Blue,4699999,Kenyan Used,Automatic,99000.0
2383,Toyota,Vitz,2013,White,780000,Kenyan Used,Automatic,
2384,Nissan,Note,2015,Gray,880000,Kenyan Used,AMT,1094895.0
2385,BMW,X5,2008,Gray,2400000,Kenyan Used,Automatic,113000.0
2386,Mercedes-Benz,S-Class,2016,Blue,9999999,Foreign Used,Automatic,
2387,Toyota,Noah,2003,Gold,465000,Kenyan Used,Automatic,186232.0
2388,Mazda,Biante,2013,Silver,1150000,Kenyan Used,Automatic,
2389,Toyota,Corolla,2010,Red,970000,Kenyan Used,Automatic,124000.0
2390,BMW,X3,2015,White,2750000,Kenyan Used,Automatic,100000.0
2391,Toyota,Harrier,2017,White,3750000,Foreign Used,Automatic,
2392,Toyota,Sienta,2016,Brown,1580000,Foreign Used,Automatic,62000.0
2393,Audi,Q5,2017,Pearl,4495000,Foreign Used,Automatic,45000.0
2394,Nissan,Juke,2011,Black,835000,Kenyan Used,Automatic,
2395,Ford,Ecosport,2015,Blue,1850000,Kenyan Used,Automatic,18000.0
2396,Toyota,Corolla,2009,Red,970000,Kenyan Used,Automatic,131000.0
2397,Toyota,Allion,2006,Blue,750000,Kenyan Used,Automatic,
2398,Isuzu,D-MAX,2014,White,1670000,Kenyan Used,Manual,
2399,BMW,528i,2016,Black,3350000,Foreign Used,Automatic,64000.0
2400,Toyota,Harrier,2017,Black,3950000,Foreign Used,Automatic,83000.0
2401,Volvo,XC60,2016,Black,3450000,Foreign Used,Automatic,
2402,Volkswagen,Golf,2007,Green,499000,Kenyan Used,Manual,164000.0
2403,Nissan,Wingroad,2015,Silver,800000,Kenyan Used,Automatic,144812.0
2404,Toyota,Wish,2014,Black,1350000,Kenyan Used,Automatic,123080.0
2405,Toyota,Probox,2008,White,620000,Kenyan Used,Automatic,123808.0
2406,Toyota,RAV4,2009,Red,1450000,Kenyan Used,Automatic,135000.0
2407,Mitsubishi,Lancer,2000,Silver,450000,Kenyan Used,CVT,
2408,Toyota,Mark,2006,Blue,650000,Kenyan Used,Automatic,123000.0
2409,Hyundai,Elantra,1997,Green,200000,Kenyan Used,Manual,
2410,Toyota,Hilux,2015,Gray,2300000,Kenyan Used,Manual,58000.0
2411,Honda,Fit,2011,Blue,630000,Kenyan Used,Automatic,
2412,Audi,A4,2010,Beige,1300000,Kenyan Used,Automatic,120000.0
2413,Mazda,Demio,2012,Silver,550000,Kenyan Used,Automatic,
2414,Toyota,Noah,2006,Silver,550000,Kenyan Used,Automatic,250000.0
2415,Toyota,Wish,2009,Silver,970000,Kenyan Used,Automatic,131300.0
2416,Nissan,Note,2016,Gray,1085000,Foreign Used,Automatic,56000.0
2417,Toyota,RAV4,2010,White,1550000,Kenyan Used,Automatic,117000.0
2418,Honda,CR-V,2008,Black,1100000,Kenyan Used,Automatic,215000.0
2419,Toyota,Vanguard,2013,White,2050000,Kenyan Used,Automatic,
2420,Subaru,Impreza,2003,Silver,600000,Kenyan Used,Automatic,
2421,Honda,Vezel,2016,White,2250000,Foreign Used,Automatic,72000.0
2422,Toyota,Vitz,2005,Beige,590000,Kenyan Used,Automatic,191143.0
2423,Nissan,Note,2014,Blue,875000,Kenyan Used,Automatic,
2424,Volkswagen,Touareg,2006,Black,1490000,Kenyan Used,Automatic,165000.0
2425,Toyota,Caldina,2003,Black,640000,Kenyan Used,Automatic,
2426,Subaru,Forester,2008,Black,1100000,Kenyan Used,Automatic,
2427,Mazda,CX-3,2016,Silver,2100000,Foreign Used,Automatic,
2428,Toyota,RAV4,2010,White,1550000,Kenyan Used,Automatic,
2429,Mazda,Demio,2014,White,850000,Kenyan Used,Automatic,
2431,Toyota,Cami,2007,Silver,499000,Kenyan Used,Manual,
2432,Toyota,Mark,2010,White,1290000,Kenyan Used,Automatic,
2433,Toyota,Vanguard,2008,Silver,1285000,Kenyan Used,Automatic,133000.0
2434,Honda,Stepwgn,2014,Gray,1450000,Kenyan Used,Automatic,
2435,Peugeot,208,2016,White,1300000,Foreign Used,Automatic,40000.0
2436,Mazda,Axela,2014,Gray,1350000,Kenyan Used,Automatic,130000.0
2437,Nissan,Bluebird,2002,Gray,450000,Kenyan Used,Automatic,154000.0
2438,Mazda,Demio,2013,Blue,600000,Kenyan Used,Automatic,141851.0
2439,Toyota,Corolla,2004,Silver,650000,Kenyan Used,Automatic,178000.0
2440,Toyota,Probox,2006,White,580000,Kenyan Used,Automatic,135444.0
2441,Toyota,Premio,2008,Purple,990000,Foreign Used,Automatic,160000.0
2442,Land,Rover,2006,Red,2800000,Kenyan Used,Automatic,98000.0
2443,Suzuki,Jimny,2016,Blue,1300000,Foreign Used,Automatic,
2444,Toyota,Caldina,2003,Black,650000,Kenyan Used,Automatic,152000.0
2445,Nissan,Teana,2011,Black,830000,Kenyan Used,Automatic,
2446,Toyota,Land,2016,Brown,5500000,Kenyan Used,Automatic,
2447,Toyota,Succeed,2012,White,720000,Kenyan Used,Automatic,161000.0
2448,Nissan,Sylphy,2008,White,375000,Kenyan Used,Automatic,165948.0
2449,Toyota,Corolla,2014,Silver,1350000,Kenyan Used,Automatic,
2450,Toyota,Land,2011,White,3280000,Kenyan Used,Automatic,109868.0
2451,Mercedes-Benz,GLE-Class,2016,White,8200000,Foreign Used,Automatic,67000.0
2452,Nissan,X-Trail,2007,White,680000,Kenyan Used,Automatic,176000.0
2453,Mazda,Demio,2014,Blue,880000,Kenyan Used,Automatic,140000.0
2454,Honda,CR-Z,2011,Black,1195000,Kenyan Used,Automatic,137000.0
2455,Mercedes-Benz,E250,2011,White,2450000,Kenyan Used,Automatic,
2456,Toyota,Wish,2013,Black,1350000,Kenyan Used,Automatic,129000.0
2457,Toyota,Wish,2012,Blue,1300000,Kenyan Used,Automatic,153689.0
2458,Toyota,Mark,2009,Silver,980000,Kenyan Used,Automatic,148000.0
2459,Honda,Stream,2010,Blue,850000,Kenyan Used,Automatic,119563.0
2460,Mitsubishi,Outlander,2007,Black,995000,Kenyan Used,Automatic,
2461,Mazda,Demio,2008,Gray,520000,Kenyan Used,Automatic,116000.0
2462,Volkswagen,Tiguan,2016,White,2925000,Foreign Used,Automatic,68000.0
2463,Mazda,Axela,2012,White,815000,Kenyan Used,Automatic,140000.0
2464,Toyota,Corolla,2014,Silver,1350000,Kenyan Used,Automatic,164000.0
2465,Toyota,Corolla,2011,Black,1050000,Kenyan Used,Automatic,
2466,Subaru,Impreza,2011,Black,930000,Kenyan Used,Automatic,
2467,Toyota,Premio,2001,Gray,330000,Kenyan Used,Automatic,240443.0
2468,Toyota,Vitz,2014,White,830000,Kenyan Used,Automatic,128013.0
2469,Toyota,Wish,2011,Black,1350000,Kenyan Used,Automatic,119000.0
2470,Toyota,Vitz,2015,Pearl,870000,Kenyan Used,Automatic,137879.0
2471,Mazda,Demio,2015,Blue,930000,Kenyan Used,Automatic,
2472,Toyota,Land,2012,White,3700000,Kenyan Used,Automatic,
2473,Toyota,Axio,2009,Silver,780000,Kenyan Used,Automatic,
2474,Nissan,X-Trail,2016,White,2500000,Foreign Used,Automatic,117482.0
2475,Toyota,Crown,2016,White,3500000,Foreign Used,Automatic,114000.0
2476,Honda,Fit,2016,White,1250000,Foreign Used,Automatic,128752.0
2477,BMW,X1,2016,Black,3200000,Foreign Used,Automatic,59414.0
2478,Suzuki,Escudo,2003,White,580000,Kenyan Used,Automatic,
2479,Toyota,Premio,2017,Silver,2600000,Foreign Used,Automatic,104060.0
2480,Toyota,Mark,2010,White,1290000,Kenyan Used,Automatic,
2481,Toyota,Harrier,2017,White,3950000,Kenyan Used,Automatic,28600.0
2482,Honda,Fit,2014,Green,950000,Kenyan Used,Automatic,130008.0
2483,Nissan,Patrol,2010,Silver,1550000,Kenyan Used,Manual,
2484,Land,Rover,2011,Brown,3300000,Kenyan Used,Automatic,
2485,Nissan,Juke,2012,Red,895000,Kenyan Used,Automatic,120000.0
2486,Toyota,Harrier,2007,Silver,1550000,Kenyan Used,Automatic,
2487,Toyota,Rush,2010,White,1250000,Kenyan Used,Automatic,163000.0
2488,Toyota,FJ,2011,Black,2750000,Kenyan Used,Automatic,
2489,Smart,ForFour,2016,Pearl,1180000,Foreign Used,Automatic,
2490,Mitsubishi,Lancer,2007,Silver,520000,Kenyan Used,Automatic,162000.0
2491,Nissan,Juke,2012,Red,1050000,Kenyan Used,Automatic,139000.0
2492,Toyota,Vitz,2016,White,1300000,Foreign Used,Automatic,101814.0
2493,Mazda,CX-5,2012,Red,1450000,Kenyan Used,Automatic,124000.0
2494,Toyota,Corolla,2004,Gold,595000,Kenyan Used,Automatic,
2495,Lexus,NX,2014,Brown,3100000,Kenyan Used,Automatic,138000.0
2496,Toyota,Sprinter,1999,Silver,375000,Kenyan Used,Automatic,
2497,Toyota,Probox,2008,White,600000,Kenyan Used,Automatic,127000.0
2498,Mazda,CX-3,2015,Black,2350000,Foreign Used,Automatic,
2499,Toyota,Land,2012,Black,3600000,Kenyan Used,Automatic,
2500,Mitsubishi,ASX,2012,White,1550000,Kenyan Used,Manual,67000.0
2501,Mercedes-Benz,C200,2016,Black,3800000,Foreign Used,Automatic,
2502,Peugeot,308,2016,Black,1450000,Foreign Used,Automatic,
2503,Toyota,Land,2003,Blue,1380000,Kenyan Used,Manual,138000.0
2504,Peugeot,3008,2016,Brown,3950000,Foreign Used,Automatic,
2505,Toyota,Land,2005,Silver,1850000,Kenyan Used,Automatic,
2506,Toyota,Hilux,2018,Silver,2300000,Kenyan Used,Manual,
2507,Suzuki,Swift,2016,Red,1250000,Foreign Used,Automatic,
2508,Toyota,Crown,2014,Black,2100000,Kenyan Used,Automatic,132000.0
2509,Toyota,Wish,2016,White,2300000,Foreign Used,Automatic,
2510,Land,Rover,2006,Red,2600000,Kenyan Used,Automatic,98000.0
2511,Toyota,Vitz,2011,Silver,650000,Kenyan Used,Automatic,
2512,Nissan,Bluebird,2009,White,680000,Kenyan Used,Automatic,256434.0
2513,Isuzu,MU-X,2018,Gray,4600000,Kenyan Used,Automatic,
2514,Subaru,Impreza,2016,Black,1770000,Foreign Used,Automatic,68000.0
2515,Toyota,Ractis,2016,Black,1100000,Foreign Used,Automatic,
2516,Nissan,Dayz,2016,Purple,780000,Foreign Used,Automatic,120559.0
2517,Land,Rover,1977,Red,480000,Kenyan Used,Manual,198760.0
2518,Toyota,Harrier,2016,White,3900000,Foreign Used,Automatic,68000.0
2519,Honda,Fit,2010,White,550000,Kenyan Used,Automatic,
2520,Toyota,Fortuner,2016,White,6500000,Foreign Used,Automatic,100331.0
2521,Volkswagen,Touareg,2014,Black,4750000,Kenyan Used,Automatic,
2522,Honda,CR-V,2016,White,3800000,Foreign Used,Automatic,
2523,Toyota,Axio,2010,White,850000,Kenyan Used,Automatic,
2524,Mercedes-Benz,C300,2020,Blue,6500000,Foreign Used,Automatic,47000.0
2525,Honda,Stream,2010,Silver,750000,Kenyan Used,Automatic,129000.0
2526,Toyota,Corolla,1998,Blue,280000,Kenyan Used,Automatic,156092.0
2527,Nissan,Sunny,1998,Silver,270000,Kenyan Used,Automatic,168523.0
2528,Mercedes-Benz,C200,2002,Silver,800000,Kenyan Used,Automatic,167005.0
2529,Lexus,LX,2017,Gold,15500000,Foreign Used,Automatic,40000.0
2530,Toyota,Passo,2016,Purple,1000000,Foreign Used,Automatic,
2531,Toyota,Land,2003,White,2150000,Kenyan Used,Automatic,
2532,Porsche,Cayenne,2018,Black,8500000,Foreign Used,Automatic,54214.0
2533,Mercedes-Benz,E200,2016,White,5950000,Foreign Used,Automatic,47000.0
2534,Mazda,CX-5,2016,Black,3200000,Foreign Used,Automatic,
2535,Volkswagen,Golf,2016,Silver,1950000,Foreign Used,Automatic,74000.0
2536,Toyota,Lexcen,2018,Gray,16300000,Foreign Used,Automatic,
2537,Subaru,Levorg,2014,White,1550000,Kenyan Used,Automatic,112826.0
2538,Mercedes-Benz,C200,2016,Black,4600000,Foreign Used,Automatic,14000.0
2539,Toyota,Vitz,2016,Gray,1150000,Foreign Used,Automatic,77191.0
2540,Mazda,CX-5,2018,Gray,3550000,Foreign Used,Automatic,49000.0
2541,Toyota,Probox,2007,White,480000,Kenyan Used,Automatic,168859.0
2542,Mazda,Demio,2013,Gray,650000,Kenyan Used,Automatic,179239.0
2543,Toyota,Succeed,2002,Silver,430000,Kenyan Used,Automatic,273399.0
2545,Toyota,Hilux,2011,Silver,2900000,Kenyan Used,Automatic,115021.0
2546,Toyota,Harrier,2015,Silver,2975000,Kenyan Used,Automatic,82000.0
2547,Subaru,Forester,2016,Brown,3170000,Foreign Used,Automatic,82000.0
2548,Nissan,Latio,2008,White,545000,Kenyan Used,Automatic,
2549,Daihatsu,Mira,2012,White,290000,Kenyan Used,Manual,270355.0
2550,Audi,A4,2016,White,3380000,Foreign Used,Automatic,118000.0
2551,Toyota,Land,2021,Brown,12000000,Foreign Used,Automatic,15000.0
2552,Toyota,Land,2019,Brown,8800000,Foreign Used,Automatic,52000.0
2553,Toyota,Harrier,2017,White,3980000,Foreign Used,Automatic,48000.0
